FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,128,1,3.340
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
462728,487760,0.005561
272919,829585,0.009458
438238,1518534,0.017313
210305,1238161,0.014117
210376,1240573,0.014144
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,128,2,2.164
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210376,995090,0.011345
272919,708985,0.008083
401873,411744,0.004694
210305,994371,0.011337
438238,1286809,0.014671
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,128,4,1.497
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,854875,0.009747
401873,312718,0.003565
210305,584496,0.006664
272919,481102,0.005485
210376,585274,0.006673
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,128,8,1.193
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,389916,0.004446
401873,260345,0.002968
438238,625803,0.007135
272919,333635,0.003804
210376,390570,0.004453
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,256,1,6.630
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,3037096,0.017313
272919,1658930,0.009457
462728,975303,0.005560
210305,2480698,0.014142
210376,2479302,0.014134
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,256,2,4.193
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,1905650,0.010863
272919,1358536,0.007745
401873,818023,0.004663
210376,1904238,0.010855
438238,2475023,0.014109
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,256,4,2.944
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210376,1121970,0.006396
272919,927094,0.005285
438238,1691968,0.009645
401873,655912,0.003739
210305,1123581,0.006405
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,256,8,2.386
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,1291454,0.007362
210305,664419,0.003788
401873,566496,0.003229
210376,668878,0.003813
272919,839295,0.004785
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,512,1,12.744
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210376,4959033,0.014135
272919,3316522,0.009453
462728,1950173,0.005559
438238,6072216,0.017308
210305,4957784,0.014131
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,512,2,7.965
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,5038384,0.014361
401873,1653000,0.004712
272919,2757212,0.007859
210376,3957038,0.011279
210305,3957319,0.011280
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,512,4,5.820
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,1246547,0.003553
272919,1818669,0.005184
438238,3309873,0.009434
210305,2064751,0.005885
210376,2063847,0.005883
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,512,8,4.513
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,2470517,0.007042
272919,1239540,0.003533
401873,1026344,0.002925
210305,1307079,0.003726
210376,1307946,0.003728
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,1024,1,26.697
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,9919170,0.014136
272919,6630501,0.009450
462728,3901140,0.005560
438238,12150061,0.017316
210376,9915647,0.014131
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,1024,2,15.744
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,9452005,0.013471
272919,5299801,0.007553
401873,3023095,0.004308
210376,7499679,0.010688
210305,7503017,0.010693
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,1024,4,11.455
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,2463571,0.003511
272919,3674738,0.005237
438238,6613694,0.009426
210305,4268524,0.006083
210376,4266557,0.006081
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,1024,8,9.403
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
272919,2617057,0.003730
210305,4008584,0.005713
210376,4117187,0.005868
438238,4680354,0.006670
401873,2038195,0.002905
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,2048,1,51.584
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,24299972,0.017316
272919,13272599,0.009458
462728,7803259,0.005560
210305,19834060,0.014133
210376,19836061,0.014135
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,2048,2,30.089
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,6144253,0.004378
272919,10262381,0.007313
438238,18674754,0.013307
210376,14767527,0.010523
210305,14771727,0.010526
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,2048,4,22.933
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,12917663,0.009205
272919,7092049,0.005054
210376,8867481,0.006319
401873,4788135,0.003412
210305,8869952,0.006321
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,2048,8,18.897
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,9820218,0.006998
210305,5258056,0.003747
272919,5156359,0.003674
210376,5298547,0.003776
401873,4380987,0.003122
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,4096,1,102.328
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,48589723,-0.032649
272919,26533331,-0.017828
462728,15605640,-0.010486
210305,39675480,-0.026659
210376,39661907,-0.026650
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,4096,2,57.052
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210376,28608899,-0.019223
272919,19619673,-0.013183
401873,11805903,-0.007933
438238,35856396,-0.024093
210305,28610453,-0.019224
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,4096,4,44.545
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,9511949,-0.006391
272919,14187905,-0.009533
438238,25323836,-0.017016
210376,17320005,-0.011638
210305,17333071,-0.011646
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,4096,8,36.575
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
272919,9984805,-0.006709
401873,7934034,-0.005331
438238,19138842,-0.012860
210305,10877104,-0.007309
210376,10834652,-0.007280
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,8192,1,204.823
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,79336601,0.060175
272919,53076106,0.040257
462728,31208685,0.023671
438238,97194601,0.073720
210376,79321641,0.060163
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,8192,2,108.482
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,53196316,0.040348
272919,37213483,0.028225
401873,22494176,0.017061
210376,53188041,0.040342
438238,68008587,0.051583
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,8192,4,85.965
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210376,33869131,0.025689
272919,27430165,0.020805
438238,48621832,0.036878
401873,18368379,0.013932
210305,33904963,0.025716
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,8192,8,73.548
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
438238,37949118,0.028783
210376,23224538,0.017615
210305,23235511,0.017624
272919,21656901,0.016426
401873,15903347,0.012062
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,16384,1,403.669
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,158682485,-0.095702
272919,106150224,-0.064019
462728,62419726,-0.037645
438238,194365720,-0.117222
210376,158642199,-0.095677
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,16384,2,194.399
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
210305,96846512,-0.058408
272919,67139186,-0.040492
438238,121976352,-0.073564
401873,40308253,-0.024310
210376,96804944,-0.058383
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,16384,4,159.525
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,34529702,-0.020825
272919,51430278,-0.031018
438238,90604649,-0.054644
210376,63443072,-0.038263
210305,63486689,-0.038289
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,16384,8,146.180
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,31923521,-0.019253
210376,45587362,-0.027494
438238,75732386,-0.045674
272919,42529734,-0.025650
210305,45517010,-0.027451
==================================================================

FileName,K Walks,Num Of Threads,Time
web-BerkStan_sorted.txt,100,6,1.165
}======[ TOP 5 Nodes ]======={
Node,NumberOfHits,PageRank
401873,254523,0.003714
272919,318553,0.004649
210305,344823,0.005032
210376,360308,0.005258
438238,636268,0.009285
==================================================================

